Degree;Number Points;Mean (std) Distance; Max Distance
209;21948;0.009(0.0033);0.016
211;22368;0.0089(0.0033);0.016
213;22794;0.0072(0.0032);0.016
215;23222;0.009(0.0032);0.016
217;23656;0.0071(0.0031);0.016
219;24092;0.0087(0.0032);0.016
221;24534;0.0069(0.0031);0.015
223;24978;0.0086(0.0031);0.016
225;25428;0.0084(0.003);0.015
227;25880;0.0066(0.003);0.015
229;26338;0.0083(0.003);0.015
231;26798;0.0082(0.003);0.015
233;27264;0.0065(0.003);0.015
235;27732;0.0081(0.003);0.015
237;28206;0.0064(0.0028);0.015
239;28682;0.0079(0.0029);0.015
241;29164;0.0062(0.0028);0.014
243;29648;0.006(0.0028);0.014
245;30138;0.0078(0.0028);0.014
247;30630;0.0077(0.0028);0.014
249;31128;0.006(0.0027);0.013
251;31628;0.0076(0.0028);0.014
253;32134;0.0076(0.0027);0.014
255;32642;0.0075(0.0027);0.014
257;33156;0.0059(0.0026);0.013
259;33672;0.0074(0.0026);0.013
261;34194;0.0058(0.0026);0.013
263;34718;0.0071(0.0027);0.013
265;35248;0.0055(0.0025);0.013
267;35780;0.0071(0.0026);0.013
269;36318;0.0071(0.0026);0.013
271;36858;0.0054(0.0024);0.012
273;37404;0.007(0.0025);0.013
275;37952;0.007(0.0025);0.012
277;38506;0.0054(0.0024);0.012
279;39062;0.0068(0.0025);0.012
281;39624;0.0052(0.0024);0.012
283;40188;0.0068(0.0025);0.012
285;40758;0.0068(0.0024);0.012
287;41330;0.0066(0.0025);0.012
289;41908;0.0051(0.0023);0.011
291;42488;0.0065(0.0024);0.012
293;43074;0.0051(0.0023);0.011
295;43662;0.0065(0.0023);0.012
297;44256;0.005(0.0023);0.011
299;44852;0.0064(0.0023);0.011
301;45454;0.0064(0.0023);0.011
303;46058;0.0063(0.0023);0.011
305;46668;0.0049(0.0023);0.011
307;47280;0.0062(0.0023);0.011
309;47898;0.0047(0.0022);0.011
311;48518;0.0061(0.0022);0.011
313;49144;0.0047(0.0022);0.011
315;49772;0.0061(0.0022);0.011
317;50406;0.0059(0.0022);0.011
319;51042;0.0059(0.0022);0.011
321;51684;0.0046(0.0021);0.011
323;52328;0.0047(0.0021);0.01
